"filename", "language", "HTML", "JavaScript", "SCSS", "JSON", "Markdown", "comment", "blank", "total"
"c:\Users\antho\Desktop\discord_clone\README.md", "Markdown", 0, 0, 0, 0, 1, 0, 0, 1
"c:\Users\antho\Desktop\discord_clone\index.js", "JavaScript", 0, 11, 0, 0, 0, 0, 2, 13
"c:\Users\antho\Desktop\discord_clone\package-lock.json", "JSON", 0, 0, 0, 13458, 0, 0, 1, 13459
"c:\Users\antho\Desktop\discord_clone\package.json", "JSON", 0, 0, 0, 54, 0, 0, 1, 55
"c:\Users\antho\Desktop\discord_clone\public\index.html", "HTML", 12, 0, 0, 0, 0, 1, 1, 14
"c:\Users\antho\Desktop\discord_clone\server.js", "JavaScript", 0, 25, 0, 0, 0, 3, 12, 40
"c:\Users\antho\Desktop\discord_clone\src\App.js", "JavaScript", 0, 131, 0, 0, 0, 11, 28, 170
"c:\Users\antho\Desktop\discord_clone\src\App.scss", "SCSS", 0, 0, 80, 0, 0, 22, 15, 117
"c:\Users\antho\Desktop\discord_clone\src\Channel\Channel.jsx", "JavaScript", 0, 162, 0, 0, 0, 13, 25, 200
"c:\Users\antho\Desktop\discord_clone\src\Channel\Channel.scss", "SCSS", 0, 0, 191, 0, 0, 0, 40, 231
"c:\Users\antho\Desktop\discord_clone\src\Chat\Chat.jsx", "JavaScript", 0, 153, 0, 0, 0, 18, 36, 207
"c:\Users\antho\Desktop\discord_clone\src\Chat\Chat.scss", "SCSS", 0, 0, 159, 0, 0, 3, 22, 184
"c:\Users\antho\Desktop\discord_clone\src\LoginPage\LoginPage.jsx", "JavaScript", 0, 180, 0, 0, 0, 8, 49, 237
"c:\Users\antho\Desktop\discord_clone\src\LoginPage\LoginPage.scss", "SCSS", 0, 0, 270, 0, 0, 1, 23, 294
"c:\Users\antho\Desktop\discord_clone\src\ServerList\ServerList.jsx", "JavaScript", 0, 123, 0, 0, 0, 4, 29, 156
"c:\Users\antho\Desktop\discord_clone\src\ServerList\ServerList.scss", "SCSS", 0, 0, 184, 0, 0, 11, 38, 233
"c:\Users\antho\Desktop\discord_clone\src\firebase.js", "JavaScript", 0, 39, 0, 0, 0, 11, 10, 60
"c:\Users\antho\Desktop\discord_clone\src\fonts\demo.html", "HTML", 443, 0, 0, 0, 0, 0, 11, 454
"c:\Users\antho\Desktop\discord_clone\src\fonts\style.scss", "SCSS", 0, 0, 120, 0, 0, 0, 10, 130
"c:\Users\antho\Desktop\discord_clone\test.html", "HTML", 27, 0, 0, 0, 0, 0, 0, 27
"c:\Users\antho\Desktop\discord_clone\webpack.config.js", "JavaScript", 0, 56, 0, 0, 0, 11, 1, 68
"Total", "-", 482, 880, 1004, 13512, 1, 117, 354, 16350
