"filename", "language", "SCSS", "HTML", "JavaScript", "XML", "Markdown", "JSON", "comment", "blank", "total"
"c:\Users\antho\Desktop\discord_clone\README.md", "Markdown", 0, 0, 0, 0, 1, 0, 0, 0, 1
"c:\Users\antho\Desktop\discord_clone\index.js", "JavaScript", 0, 0, 11, 0, 0, 0, 0, 2, 13
"c:\Users\antho\Desktop\discord_clone\package-lock.json", "JSON", 0, 0, 0, 0, 0, 14462, 0, 1, 14463
"c:\Users\antho\Desktop\discord_clone\package.json", "JSON", 0, 0, 0, 0, 0, 58, 0, 1, 59
"c:\Users\antho\Desktop\discord_clone\public\index.html", "HTML", 0, 12, 0, 0, 0, 0, 2, 1, 15
"c:\Users\antho\Desktop\discord_clone\server.js", "JavaScript", 0, 0, 25, 0, 0, 0, 3, 12, 40
"c:\Users\antho\Desktop\discord_clone\src\App.js", "JavaScript", 0, 0, 258, 0, 0, 0, 310, 62, 630
"c:\Users\antho\Desktop\discord_clone\src\App.scss", "SCSS", 107, 0, 0, 0, 0, 0, 7, 15, 129
"c:\Users\antho\Desktop\discord_clone\src\Channel\Channel.jsx", "JavaScript", 0, 0, 309, 0, 0, 0, 27, 42, 378
"c:\Users\antho\Desktop\discord_clone\src\Channel\Channel.scss", "SCSS", 125, 0, 0, 0, 0, 0, 15, 28, 168
"c:\Users\antho\Desktop\discord_clone\src\Chat\Chat.jsx", "JavaScript", 0, 0, 302, 0, 0, 0, 48, 57, 407
"c:\Users\antho\Desktop\discord_clone\src\Chat\Chat.scss", "SCSS", 162, 0, 0, 0, 0, 0, 0, 22, 184
"c:\Users\antho\Desktop\discord_clone\src\CustomUIComponents.jsx", "JavaScript", 0, 0, 86, 0, 0, 0, 0, 18, 104
"c:\Users\antho\Desktop\discord_clone\src\FriendActive\FriendActive.jsx", "JavaScript", 0, 0, 23, 0, 0, 0, 0, 4, 27
"c:\Users\antho\Desktop\discord_clone\src\FriendActive\FriendActive.scss", "SCSS", 27, 0, 0, 0, 0, 0, 0, 4, 31
"c:\Users\antho\Desktop\discord_clone\src\FriendBody\FriendBody.jsx", "JavaScript", 0, 0, 146, 0, 0, 0, 0, 20, 166
"c:\Users\antho\Desktop\discord_clone\src\FriendBody\FriendBody.scss", "SCSS", 245, 0, 0, 0, 0, 0, 3, 31, 279
"c:\Users\antho\Desktop\discord_clone\src\FriendBody\friend.svg", "XML", 0, 0, 0, 10, 0, 0, 0, 0, 10
"c:\Users\antho\Desktop\discord_clone\src\FriendBody\groupdm.svg", "XML", 0, 0, 0, 5, 0, 0, 0, 0, 5
"c:\Users\antho\Desktop\discord_clone\src\FriendList\FriendList.jsx", "JavaScript", 0, 0, 72, 0, 0, 0, 0, 8, 80
"c:\Users\antho\Desktop\discord_clone\src\FriendList\FriendList.scss", "SCSS", 23, 0, 0, 0, 0, 0, 1, 4, 28
"c:\Users\antho\Desktop\discord_clone\src\FriendMenu\CreateDM.jsx", "JavaScript", 0, 0, 5, 0, 0, 0, 0, 3, 8
"c:\Users\antho\Desktop\discord_clone\src\FriendMenu\FriendMenu.jsx", "JavaScript", 0, 0, 111, 0, 0, 0, 0, 14, 125
"c:\Users\antho\Desktop\discord_clone\src\FriendMenu\FriendMenu.scss", "SCSS", 96, 0, 0, 0, 0, 0, 9, 16, 121
"c:\Users\antho\Desktop\discord_clone\src\LoginPage\LoginPage.jsx", "JavaScript", 0, 0, 170, 0, 0, 0, 6, 48, 224
"c:\Users\antho\Desktop\discord_clone\src\LoginPage\LoginPage.scss", "SCSS", 317, 0, 0, 0, 0, 0, 2, 26, 345
"c:\Users\antho\Desktop\discord_clone\src\LoginPage\apple.svg", "XML", 0, 0, 0, 19, 0, 0, 0, 1, 20
"c:\Users\antho\Desktop\discord_clone\src\LoginPage\facebook.svg", "XML", 0, 0, 0, 19, 0, 0, 0, 1, 20
"c:\Users\antho\Desktop\discord_clone\src\LoginPage\github.svg", "XML", 0, 0, 0, 20, 0, 0, 0, 1, 21
"c:\Users\antho\Desktop\discord_clone\src\LoginPage\google.svg", "XML", 0, 0, 0, 22, 0, 0, 0, 1, 23
