"filename", "language", "JavaScript", "SCSS", "XML", "JSON", "YAML", "comment", "blank", "total"
"c:\Users\antho\Desktop\discord_clone\.github\workflows\firebase-hosting-merge.yml", "YAML", 0, 0, 0, 0, 17, 2, 2, 21
"c:\Users\antho\Desktop\discord_clone\.github\workflows\firebase-hosting-pull-request.yml", "YAML", 0, 0, 0, 0, 14, 2, 2, 18
"c:\Users\antho\Desktop\discord_clone\babel.config.js", "JavaScript", 6, 0, 0, 0, 0, 0, 0, 6
"c:\Users\antho\Desktop\discord_clone\firebase.json", "JSON", 0, 0, 0, 7, 0, 9, 0, 16
"c:\Users\antho\Desktop\discord_clone\package-lock.json", "JSON", 0, 0, 0, 5986, 0, 0, 0, 5986
"c:\Users\antho\Desktop\discord_clone\package.json", "JSON", 0, 0, 0, 4, 0, 0, 0, 4
"c:\Users\antho\Desktop\discord_clone\src\AddFriend\AddFriend.jsx", "JavaScript", 74, 0, 0, 0, 0, 0, 7, 81
"c:\Users\antho\Desktop\discord_clone\src\AddFriend\AddFriend.scss", "SCSS", 0, 120, 0, 0, 0, 0, 17, 137
"c:\Users\antho\Desktop\discord_clone\src\App.js", "JavaScript", 52, 0, 0, 0, 0, -12, -3, 37
"c:\Users\antho\Desktop\discord_clone\src\Channel\Channel.jsx", "JavaScript", 60, 0, 0, 0, 0, 6, 4, 70
"c:\Users\antho\Desktop\discord_clone\src\Channel\Channel.scss", "SCSS", 0, 25, 0, 0, 0, 0, 3, 28
"c:\Users\antho\Desktop\discord_clone\src\Chat\Chat.jsx", "JavaScript", 51, 0, 0, 0, 0, 9, 10, 70
"c:\Users\antho\Desktop\discord_clone\src\FriendBody\FriendBody.jsx", "JavaScript", 9, 0, 0, 0, 0, 0, 0, 9
"c:\Users\antho\Desktop\discord_clone\src\FriendBody\FriendBody.scss", "SCSS", 0, 10, 0, 0, 0, 0, 1, 11
"c:\Users\antho\Desktop\discord_clone\src\FriendMenu\FriendMenu.jsx", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 1
"c:\Users\antho\Desktop\discord_clone\src\LoginPage\LoginPage.jsx", "JavaScript", 5, 0, 0, 0, 0, -2, 9, 12
"c:\Users\antho\Desktop\discord_clone\src\PrivateChat\PrivateChat.jsx", "JavaScript", 18, 0, 0, 0, 0, -19, -7, -8
"c:\Users\antho\Desktop\discord_clone\src\PrivateChat\PrivateChat.scss", "SCSS", 0, -7, 0, 0, 0, 0, 0, -7
"c:\Users\antho\Desktop\discord_clone\src\ServerList\ServerList.jsx", "JavaScript", 16, 0, 0, 0, 0, 0, 0, 16
"c:\Users\antho\Desktop\discord_clone\src\UserFooter\UserFooter.jsx", "JavaScript", 12, 0, 0, 0, 0, 0, 4, 16
"c:\Users\antho\Desktop\discord_clone\src\VoiceControl\VoiceControl.jsx", "JavaScript", 33, 0, 0, 0, 0, 0, 7, 40
"c:\Users\antho\Desktop\discord_clone\src\VoiceControl\VoiceControl.scss", "SCSS", 0, 122, 0, 0, 0, 0, 14, 136
"c:\Users\antho\Desktop\discord_clone\src\VoiceControl\disconnect.svg", "XML", 0, 0, 4, 0, 0, 0, 0, 4
"c:\Users\antho\Desktop\discord_clone\src\VoiceControl\ping.svg", "XML", 0, 0, 25, 0, 0, 0, 1, 26
"c:\Users\antho\Desktop\discord_clone\src\WebSocket.js", "JavaScript", 110, 0, 0, 0, 0, 13, 23, 146
"c:\Users\antho\Desktop\discord_clone\src\nest.js", "JavaScript", 7, 0, 0, 0, 0, 0, 1, 8
"c:\Users\antho\Desktop\discord_clone\src\stunServerList.js", "JavaScript", 139, 0, 0, 0, 0, 1, 0, 140
"c:\Users\antho\Desktop\discord_clone\webpack.config.js", "JavaScript", 0, 0, 0, 0, 0, -11, 0, -11
"Total", "-", 593, 270, 29, 5997, 31, -2, 95, 7013
