"filename", "language", "JavaScript", "HTML", "SCSS", "XML", "Markdown", "JSON", "YAML", "comment", "blank", "total"
"c:\Users\antho\Desktop\discord_clone\.github\workflows\firebase-hosting-merge.yml", "YAML", 0, 0, 0, 0, 0, 0, 17, 2, 2, 21
"c:\Users\antho\Desktop\discord_clone\.github\workflows\firebase-hosting-pull-request.yml", "YAML", 0, 0, 0, 0, 0, 0, 14, 2, 2, 18
"c:\Users\antho\Desktop\discord_clone\README.md", "Markdown", 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\antho\Desktop\discord_clone\babel.config.js", "JavaScript", 6, 0, 0, 0, 0, 0, 0, 0, 0, 6
"c:\Users\antho\Desktop\discord_clone\firebase.json", "JSON", 0, 0, 0, 0, 0, 7, 0, 9, 0, 16
"c:\Users\antho\Desktop\discord_clone\index.js", "JavaScript", 11, 0, 0, 0, 0, 0, 0, 0, 2, 13
"c:\Users\antho\Desktop\discord_clone\package-lock.json", "JSON", 0, 0, 0, 0, 0, 20448, 0, 0, 1, 20449
"c:\Users\antho\Desktop\discord_clone\package.json", "JSON", 0, 0, 0, 0, 0, 62, 0, 0, 1, 63
"c:\Users\antho\Desktop\discord_clone\public\index.html", "HTML", 0, 12, 0, 0, 0, 0, 0, 2, 1, 15
"c:\Users\antho\Desktop\discord_clone\server.js", "JavaScript", 25, 0, 0, 0, 0, 0, 0, 3, 12, 40
"c:\Users\antho\Desktop\discord_clone\src\AddFriend\AddFriend.jsx", "JavaScript", 74, 0, 0, 0, 0, 0, 0, 0, 7, 81
"c:\Users\antho\Desktop\discord_clone\src\AddFriend\AddFriend.scss", "SCSS", 0, 0, 120, 0, 0, 0, 0, 0, 17, 137
"c:\Users\antho\Desktop\discord_clone\src\App.js", "JavaScript", 310, 0, 0, 0, 0, 0, 0, 298, 59, 667
"c:\Users\antho\Desktop\discord_clone\src\App.scss", "SCSS", 0, 0, 107, 0, 0, 0, 0, 7, 15, 129
"c:\Users\antho\Desktop\discord_clone\src\Channel\Channel.jsx", "JavaScript", 369, 0, 0, 0, 0, 0, 0, 33, 46, 448
"c:\Users\antho\Desktop\discord_clone\src\Channel\Channel.scss", "SCSS", 0, 0, 150, 0, 0, 0, 0, 15, 31, 196
"c:\Users\antho\Desktop\discord_clone\src\Chat\Chat.jsx", "JavaScript", 353, 0, 0, 0, 0, 0, 0, 57, 67, 477
"c:\Users\antho\Desktop\discord_clone\src\Chat\Chat.scss", "SCSS", 0, 0, 162, 0, 0, 0, 0, 0, 22, 184
"c:\Users\antho\Desktop\discord_clone\src\CustomUIComponents.jsx", "JavaScript", 86, 0, 0, 0, 0, 0, 0, 0, 18, 104
"c:\Users\antho\Desktop\discord_clone\src\FriendActive\FriendActive.jsx", "JavaScript", 23, 0, 0, 0, 0, 0, 0, 0, 4, 27
"c:\Users\antho\Desktop\discord_clone\src\FriendActive\FriendActive.scss", "SCSS", 0, 0, 27, 0, 0, 0, 0, 0, 4, 31
"c:\Users\antho\Desktop\discord_clone\src\FriendBody\FriendBody.jsx", "JavaScript", 155, 0, 0, 0, 0, 0, 0, 0, 20, 175
"c:\Users\antho\Desktop\discord_clone\src\FriendBody\FriendBody.scss", "SCSS", 0, 0, 255, 0, 0, 0, 0, 3, 32, 290
"c:\Users\antho\Desktop\discord_clone\src\FriendBody\friend.svg", "XML", 0, 0, 0, 10, 0, 0, 0, 0, 0, 10
"c:\Users\antho\Desktop\discord_clone\src\FriendBody\groupdm.svg", "XML", 0, 0, 0, 5, 0, 0, 0, 0, 0, 5
"c:\Users\antho\Desktop\discord_clone\src\FriendList\FriendList.jsx", "JavaScript", 72, 0, 0, 0, 0, 0, 0, 0, 8, 80
"c:\Users\antho\Desktop\discord_clone\src\FriendList\FriendList.scss", "SCSS", 0, 0, 23, 0, 0, 0, 0, 1, 4, 28
"c:\Users\antho\Desktop\discord_clone\src\FriendMenu\CreateDM.jsx", "JavaScript", 5, 0, 0, 0, 0, 0, 0, 0, 3, 8
"c:\Users\antho\Desktop\discord_clone\src\FriendMenu\FriendMenu.jsx", "JavaScript", 112, 0, 0, 0, 0, 0, 0, 0, 14, 126
"c:\Users\antho\Desktop\discord_clone\src\FriendMenu\FriendMenu.scss", "SCSS", 0, 0, 96, 0, 0, 0, 0, 9, 16, 121
"c:\Users\antho\Desktop\discord_clone\src\LoginPage\LoginPage.jsx", "JavaScript", 175, 0, 0, 0, 0, 0, 0, 4, 57, 236
"c:\Users\antho\Desktop\discord_clone\src\LoginPage\LoginPage.scss", "SCSS", 0, 0, 317, 0, 0, 0, 0, 2, 26, 345
"c:\Users\antho\Desktop\discord_clone\src\LoginPage\apple.svg", "XML", 0, 0, 0, 19, 0, 0, 0, 0, 1, 20
"c:\Users\antho\Desktop\discord_clone\src\LoginPage\facebook.svg", "XML", 0, 0, 0, 19, 0, 0, 0, 0, 1, 20
"c:\Users\antho\Desktop\discord_clone\src\LoginPage\github.svg", "XML", 0, 0, 0, 20, 0, 0, 0, 0, 1, 21
"c:\Users\antho\Desktop\discord_clone\src\LoginPage\google.svg", "XML", 0, 0, 0, 22, 0, 0, 0, 0, 1, 23
"c:\Users\antho\Desktop\discord_clone\src\LoginPage\twitter.svg", "XML", 0, 0, 0, 19, 0, 0, 0, 0, 1, 20
"c:\Users\antho\Desktop\discord_clone\src\MemberStatus\MemberStatus.jsx", "JavaScript", 184, 0, 0, 0, 0, 0, 0, 0, 21, 205
"c:\Users\antho\Desktop\discord_clone\src\MemberStatus\MemberStatus.scss", "SCSS", 0, 0, 100, 0, 0, 0, 0, 0, 10, 110
"c:\Users\antho\Desktop\discord_clone\src\PrivateChat\PrivateChat.jsx", "JavaScript", 324, 0, 0, 0, 0, 0, 0, 50, 46, 420
"c:\Users\antho\Desktop\discord_clone\src\PrivateChat\PrivateChat.scss", "SCSS", 0, 0, 255, 0, 0, 0, 0, 0, 34, 289
"c:\Users\antho\Desktop\discord_clone\src\ServerList\ServerList.jsx", "JavaScript", 262, 0, 0, 0, 0, 0, 0, 2, 27, 291
"c:\Users\antho\Desktop\discord_clone\src\ServerList\ServerList.scss", "SCSS", 0, 0, 178, 0, 0, 0, 0, 24, 39, 241
"c:\Users\antho\Desktop\discord_clone\src\StatusList.jsx", "JavaScript", 18, 0, 0, 0, 0, 0, 0, 0, 4, 22
"c:\Users\antho\Desktop\discord_clone\src\UserFooter\UserFooter.jsx", "JavaScript", 301, 0, 0, 0, 0, 0, 0, 2, 28, 331
"c:\Users\antho\Desktop\discord_clone\src\UserFooter\UserFooter.scss", "SCSS", 0, 0, 122, 0, 0, 0, 0, 0, 14, 136
"c:\Users\antho\Desktop\discord_clone\src\VoiceControl\VoiceControl.jsx", "JavaScript", 33, 0, 0, 0, 0, 0, 0, 0, 7, 40
"c:\Users\antho\Desktop\discord_clone\src\VoiceControl\VoiceControl.scss", "SCSS", 0, 0, 122, 0, 0, 0, 0, 0, 14, 136
"c:\Users\antho\Desktop\discord_clone\src\VoiceControl\disconnect.svg", "XML", 0, 0, 0, 4, 0, 0, 0, 0, 0, 4
"c:\Users\antho\Desktop\discord_clone\src\VoiceControl\ping.svg", "XML", 0, 0, 0, 25, 0, 0, 0, 0, 1, 26
"c:\Users\antho\Desktop\discord_clone\src\WebSocket.js", "JavaScript", 110, 0, 0, 0, 0, 0, 0, 13, 23, 146
"c:\Users\antho\Desktop\discord_clone\src\firebase.js", "JavaScript", 20, 0, 0, 0, 0, 0, 0, 6, 4, 30
"c:\Users\antho\Desktop\discord_clone\src\fonts\demo.html", "HTML", 0, 443, 0, 0, 0, 0, 0, 0, 11, 454
"c:\Users\antho\Desktop\discord_clone\src\fonts\style.scss", "SCSS", 0, 0, 120, 0, 0, 0, 0, 0, 10, 130
"c:\Users\antho\Desktop\discord_clone\src\nest.js", "JavaScript", 7, 0, 0, 0, 0, 0, 0, 0, 1, 8
"c:\Users\antho\Desktop\discord_clone\src\stunServerList.js", "JavaScript", 139, 0, 0, 0, 0, 0, 0, 1, 0, 140
"c:\Users\antho\Desktop\discord_clone\test.html", "HTML", 0, 27, 0, 0, 0, 0, 0, 0, 0, 27
"c:\Users\antho\Desktop\discord_clone\webpack.config.js", "JavaScript", 62, 0, 0, 0, 0, 0, 0, 0, 1, 63
"Total", "-", 3236, 482, 2154, 143, 1, 20517, 31, 545, 791, 27900
